date,daily_sales,orders,avg_order_value,primary_category,marketing_spend,seasonal_multiplier,growth_factor,weekday,month,year,revenue_per_marketing,is_weekend,day_of_week,week_of_year,quarter
2021-01-17,3403.46,58,58.68,clothing,139.61,0.92,1.006,Sunday,January,2021,24.378339660482773,True,Sunday,2,1
2021-01-18,1821.06,26,70.04,clothing,131.8,0.8,1.007,Monday,January,2021,13.816843702579664,False,Monday,3,1
2021-01-19,2274.48,27,84.24,clothing,82.32,0.8,1.007,Tuesday,January,2021,27.62973760932945,False,Tuesday,3,1
2021-01-20,2738.38,56,48.9,clothing,146.24,0.8,1.007,Wednesday,January,2021,18.725246170678336,False,Wednesday,3,1
2021-01-21,3343.22,52,64.29,clothing,77.86,0.8,1.008,Thursday,January,2021,42.93886462882096,False,Thursday,3,1
2021-01-22,3032.26,56,54.15,accessories,148.57,0.8,1.008,Friday,January,2021,20.40963855421687,False,Friday,3,1
2021-01-23,3248.13,45,72.18,clothing,113.23,0.92,1.008,Saturday,January,2021,28.68612558509229,True,Saturday,3,1
2021-01-24,5535.92,75,73.81,clothing,82.08,0.92,1.009,Sunday,January,2021,67.44541910331384,True,Sunday,3,1
2021-01-25,1959.95,34,57.65,home_goods,67.44,0.8,1.009,Monday,January,2021,29.062129300118627,False,Monday,4,1
2021-01-26,3491.26,49,71.25,accessories,84.11,0.8,1.01,Tuesday,January,2021,41.50826298894305,False,Tuesday,4,1
2021-01-27,3143.47,46,68.34,clothing,74.19,0.8,1.01,Wednesday,January,2021,42.37053511254886,False,Wednesday,4,1
2021-01-28,3299.15,42,78.55,clothing,122.6,0.8,1.01,Thursday,January,2021,26.909869494290376,False,Thursday,4,1
2021-01-29,3393.65,45,75.41,clothing,529.24,0.8,1.011,Friday,January,2021,6.41230821555438,False,Friday,4,1
2021-01-30,4448.38,78,57.03,accessories,102.57,0.92,1.011,Saturday,January,2021,43.36921127035196,True,Saturday,4,1
2021-01-31,3643.94,70,52.06,clothing,59.37,0.92,1.012,Sunday,January,2021,61.376789624389424,True,Sunday,4,1
2021-02-01,2490.44,34,73.25,accessories,89.31,0.85,1.012,Monday,February,2021,27.88534318665323,False,Monday,5,1
2021-02-02,4933.86,88,56.07,clothing,69.52,0.85,1.012,Tuesday,February,2021,70.97036823935558,False,Tuesday,5,1
2021-02-03,3363.98,46,73.13,clothing,67.71,0.85,1.013,Wednesday,February,2021,49.68217397725595,False,Wednesday,5,1
2021-02-04,2966.15,48,61.79,clothing,146.36,0.85,1.013,Thursday,February,2021,20.266124624214264,False,Thursday,5,1
2021-02-05,3379.23,63,53.64,home_goods,81.69,0.85,1.013,Friday,February,2021,41.366507528461256,False,Friday,5,1
2021-02-06,4347.41,57,76.27,accessories,111.5,0.977,1.014,Saturday,February,2021,38.990224215246634,True,Saturday,5,1
2021-02-07,2839.49,50,56.79,home_goods,120.25,0.977,1.014,Sunday,February,2021,23.613222453222452,True,Sunday,5,1
2021-02-08,3090.97,39,79.26,accessories,101.13,0.85,1.015,Monday,February,2021,30.564323148422822,False,Monday,6,1
2021-02-09,2751.13,37,74.35,clothing,129.58,0.85,1.015,Tuesday,February,2021,21.231131347430157,False,Tuesday,6,1
2021-02-10,3967.36,55,72.13,clothing,525.59,0.85,1.015,Wednesday,February,2021,7.548393234270058,False,Wednesday,6,1
2021-02-11,3504.49,64,54.76,accessories,416.11,0.85,1.016,Thursday,February,2021,8.422027829179783,False,Thursday,6,1
2021-02-12,2766.9,31,89.25,accessories,55.17,0.85,1.016,Friday,February,2021,50.152256661228925,False,Friday,6,1
2021-02-13,3766.96,56,67.27,accessories,147.59,0.977,1.017,Saturday,February,2021,25.523138424012465,True,Saturday,6,1
2021-02-14,2491.14,43,57.93,clothing,52.54,0.977,1.017,Sunday,February,2021,47.41416063951275,True,Sunday,6,1
2021-02-15,4663.3,67,69.6,accessories,75.02,0.85,1.017,Monday,February,2021,62.16075713143162,False,Monday,7,1
2021-02-16,3573.55,61,58.58,accessories,91.96,0.85,1.018,Tuesday,February,2021,38.85983036102654,False,Tuesday,7,1
2021-02-17,2730.19,32,85.32,clothing,227.6,0.85,1.018,Wednesday,February,2021,11.995562390158172,False,Wednesday,7,1
2021-02-18,1336.03,16,83.5,accessories,93.39,0.85,1.019,Thursday,February,2021,14.305921404861333,False,Thursday,7,1
2021-02-19,3402.21,52,65.43,accessories,575.52,0.85,1.019,Friday,February,2021,5.911540867389491,False,Friday,7,1
2021-02-20,3164.94,68,46.54,accessories,144.02,0.977,1.019,Saturday,February,2021,21.975697819747257,True,Saturday,7,1
2021-02-21,4169.31,58,71.88,home_goods,104.56,0.977,1.02,Sunday,February,2021,39.87480872226473,True,Sunday,7,1
2021-02-22,2640.11,44,60.0,accessories,134.49,0.85,1.02,Monday,February,2021,19.63053015094059,False,Monday,8,1
2021-02-23,2871.96,40,71.8,clothing,137.75,0.85,1.02,Tuesday,February,2021,20.84907441016334,False,Tuesday,8,1
2021-02-24,2959.47,62,47.73,accessories,149.05,0.85,1.021,Wednesday,February,2021,19.855551828245552,False,Wednesday,8,1
2021-02-25,2187.12,28,78.11,accessories,143.08,0.85,1.021,Thursday,February,2021,15.28599384959463,False,Thursday,8,1
2021-02-26,2700.22,45,60.0,home_goods,100.53,0.85,1.022,Friday,February,2021,26.859842832985176,False,Friday,8,1
2021-02-27,4099.91,64,64.06,home_goods,51.08,0.977,1.022,Saturday,February,2021,80.26448707909162,True,Saturday,8,1
2021-02-28,5329.74,69,77.24,accessories,79.32,0.977,1.022,Sunday,February,2021,67.1928895612708,True,Sunday,8,1
2021-03-01,5287.5,93,56.85,clothing,128.96,2.0,1.023,Monday,March,2021,41.001085607940446,False,Monday,9,1
2021-03-02,5213.69,73,71.42,clothing,85.09,2.0,1.023,Tuesday,March,2021,61.27265248560347,False,Tuesday,9,1
2021-03-03,8414.82,125,67.32,clothing,120.1,2.0,1.024,Wednesday,March,2021,70.06511240632805,False,Wednesday,9,1
2021-03-04,8076.89,138,58.53,clothing,148.6,2.0,1.024,Thursday,March,2021,54.35323014804845,False,Thursday,9,1
2021-03-05,9599.79,151,63.57,clothing,105.84,2.0,1.024,Friday,March,2021,90.70096371882087,False,Friday,9,1
2021-03-06,7291.12,94,77.57,accessories,55.63,2.3,1.025,Saturday,March,2021,131.0645335250764,True,Saturday,9,1
2021-03-07,9668.47,158,61.19,clothing,87.49,2.3,1.025,Sunday,March,2021,110.50942964910276,True,Sunday,9,1
2021-03-08,7510.65,107,70.19,accessories,57.38,2.0,1.026,Monday,March,2021,130.89316835134193,False,Monday,10,1
2021-03-09,8288.26,144,57.56,accessories,119.57,2.0,1.026,Tuesday,March,2021,69.31722003847119,False,Tuesday,10,1
2021-03-10,7245.02,114,63.55,clothing,77.74,2.0,1.026,Wednesday,March,2021,93.19552354000515,False,Wednesday,10,1
2021-03-11,5324.52,63,84.52,clothing,57.77,2.0,1.027,Thursday,March,2021,92.16756101782933,False,Thursday,10,1
2021-03-12,8306.25,114,72.86,clothing,141.09,2.0,1.027,Friday,March,2021,58.87199659791622,False,Friday,10,1
2021-03-13,11670.68,193,60.47,home_goods,136.61,2.3,1.028,Saturday,March,2021,85.4306419735012,True,Saturday,10,1
2021-03-14,8809.41,130,67.76,accessories,146.99,2.76,1.028,Sunday,March,2021,59.93203619293829,True,Sunday,10,1
2021-03-15,8583.57,131,65.52,accessories,77.34,2.4,1.028,Monday,March,2021,110.98487199379363,False,Monday,11,1
2021-03-16,6405.2,123,52.07,accessories,145.41,2.4,1.029,Tuesday,March,2021,44.04924007977443,False,Tuesday,11,1
2021-03-17,11673.02,202,57.79,accessories,85.82,3.0,1.029,Wednesday,March,2021,136.01747844325334,False,Wednesday,11,1
2021-03-18,9601.42,128,75.01,clothing,105.19,2.4,1.03,Thursday,March,2021,91.27692746458789,False,Thursday,11,1
2021-03-19,8942.99,114,78.45,accessories,52.88,2.4,1.03,Friday,March,2021,169.11857034795761,False,Friday,11,1
2021-03-20,11676.0,218,53.56,home_goods,553.95,2.76,1.03,Saturday,March,2021,21.07771459518007,True,Saturday,11,1
2021-03-21,4931.17,63,78.27,accessories,101.4,2.3,1.031,Sunday,March,2021,48.63086785009862,True,Sunday,11,1
2021-03-22,4795.57,106,45.24,accessories,148.0,2.0,1.031,Monday,March,2021,32.402499999999996,False,Monday,12,1
2021-03-23,5928.8,84,70.58,clothing,57.59,2.0,1.031,Tuesday,March,2021,102.94842854662268,False,Tuesday,12,1
2021-03-24,7340.39,122,60.17,clothing,67.23,2.0,1.032,Wednesday,March,2021,109.18325152461699,False,Wednesday,12,1
2021-03-25,4961.55,78,63.61,clothing,62.06,2.0,1.032,Thursday,March,2021,79.94763132452465,False,Thursday,12,1
2021-03-27,6710.34,157,42.74,accessories,70.93,2.3,1.033,Saturday,March,2021,94.60510362329056,True,Saturday,12,1
2021-03-28,5382.96,73,73.74,home_goods,53.67,2.3,1.033,Sunday,March,2021,100.29737283398546,True,Sunday,12,1
2021-03-29,5507.75,98,56.2,accessories,103.21,2.0,1.034,Monday,March,2021,53.36449956399574,False,Monday,13,1
2021-03-30,5259.78,96,54.79,clothing,52.01,2.0,1.034,Tuesday,March,2021,101.13016727552393,False,Tuesday,13,1
2021-03-31,6975.55,94,74.21,accessories,139.05,2.0,1.035,Wednesday,March,2021,50.16576770945703,False,Wednesday,13,1
2021-04-01,3141.82,51,61.6,clothing,108.68,1.1,1.035,Thursday,April,2021,28.908906882591094,False,Thursday,13,2
2021-04-02,5614.17,67,83.79,clothing,86.31,1.1,1.035,Friday,April,2021,65.04657629475147,False,Friday,13,2
2021-04-03,4387.02,72,60.93,clothing,60.18,1.265,1.036,Saturday,April,2021,72.89830508474577,True,Saturday,13,2
2021-04-04,3820.88,67,57.03,clothing,78.51,1.265,1.036,Sunday,April,2021,48.66743090052223,True,Sunday,13,2
2021-04-05,4018.79,69,58.24,accessories,131.71,1.1,1.037,Monday,April,2021,30.512413636018522,False,Monday,14,2
2021-04-06,2808.57,39,72.01,accessories,105.68,1.1,1.037,Tuesday,April,2021,26.576173353520062,False,Tuesday,14,2
2021-04-07,3015.38,49,61.54,accessories,100.76,1.1,1.037,Wednesday,April,2021,29.92635966653434,False,Wednesday,14,2
2021-04-08,3506.55,65,53.95,accessories,108.12,1.1,1.038,Thursday,April,2021,32.43201997780244,False,Thursday,14,2
2021-04-09,3496.21,59,59.26,accessories,56.34,1.1,1.038,Friday,April,2021,62.05555555555555,False,Friday,14,2
2021-04-10,3785.87,66,57.36,clothing,109.56,1.265,1.039,Saturday,April,2021,34.55522088353413,True,Saturday,14,2
2021-04-11,4510.29,64,70.47,home_goods,56.65,1.265,1.039,Sunday,April,2021,79.61676963812886,True,Sunday,14,2
2021-04-12,4904.6,80,61.31,clothing,129.53,1.1,1.039,Monday,April,2021,37.864587354280864,False,Monday,15,2
2021-04-13,4626.02,74,62.51,home_goods,85.88,1.1,1.04,Tuesday,April,2021,53.86609222170471,False,Tuesday,15,2
2021-04-14,3696.2,60,61.6,accessories,87.69,1.1,1.04,Wednesday,April,2021,42.15075835329,False,Wednesday,15,2
2021-04-15,2747.9,37,74.27,accessories,88.39,1.1,1.041,Thursday,April,2021,31.088358411585023,False,Thursday,15,2
2021-04-16,3270.0,42,77.86,clothing,143.98,1.1,1.041,Friday,April,2021,22.71148770662592,False,Friday,15,2
2021-04-17,5393.71,89,60.6,clothing,139.39,1.265,1.041,Saturday,April,2021,38.695100078915274,True,Saturday,15,2
2021-04-18,4730.78,78,60.65,accessories,124.39,1.265,1.042,Sunday,April,2021,38.031835356539915,True,Sunday,15,2
2021-04-19,3807.47,49,77.7,clothing,61.06,1.1,1.042,Monday,April,2021,62.356207009498846,False,Monday,16,2
2021-04-20,3749.63,47,79.78,accessories,122.23,1.1,1.043,Tuesday,April,2021,30.676838746625215,False,Tuesday,16,2
2021-04-21,2797.84,41,68.24,clothing,68.16,1.1,1.043,Wednesday,April,2021,41.0481220657277,False,Wednesday,16,2
2021-04-22,4584.54,84,54.58,accessories,144.73,1.1,1.043,Thursday,April,2021,31.67650107095972,False,Thursday,16,2
2021-04-23,3641.73,44,82.77,home_goods,143.21,1.1,1.044,Friday,April,2021,25.429299629914112,False,Friday,16,2
2021-04-24,5806.55,74,78.47,clothing,65.25,1.265,1.044,Saturday,April,2021,88.98927203065135,True,Saturday,16,2
2021-04-25,4552.2,50,91.04,clothing,95.08,1.265,1.045,Sunday,April,2021,47.877576777450564,True,Sunday,16,2
2021-04-26,3771.9,77,48.99,accessories,83.52,1.1,1.045,Monday,April,2021,45.161637931034484,False,Monday,17,2
2021-04-27,3837.5,76,50.49,accessories,123.75,1.1,1.045,Tuesday,April,2021,31.01010101010101,False,Tuesday,17,2
2021-04-28,2621.71,40,65.54,home_goods,102.57,1.1,1.046,Wednesday,April,2021,25.560202788339673,False,Wednesday,17,2
2021-04-29,3829.72,69,55.5,home_goods,51.31,1.1,1.046,Thursday,April,2021,74.63886182030792,False,Thursday,17,2
2021-04-30,5276.98,80,65.96,clothing,91.46,1.1,1.047,Friday,April,2021,57.69713535972009,False,Friday,17,2
2021-05-01,4155.22,46,90.33,clothing,70.51,1.322,1.047,Saturday,May,2021,58.93093178272586,True,Saturday,17,2
2021-05-02,2682.01,35,76.63,clothing,95.33,1.322,1.047,Sunday,May,2021,28.13395573271793,True,Sunday,17,2
2021-05-03,3194.03,50,63.88,clothing,136.18,1.15,1.048,Monday,May,2021,23.454472022323397,False,Monday,18,2
2021-05-04,4816.3,62,77.68,clothing,90.87,1.15,1.048,Tuesday,May,2021,53.0020908990866,False,Tuesday,18,2
2021-05-05,3192.73,48,66.52,clothing,51.97,1.15,1.049,Wednesday,May,2021,61.43409659418896,False,Wednesday,18,2
2021-05-06,3771.14,61,61.82,accessories,73.82,1.15,1.049,Thursday,May,2021,51.08561365483609,False,Thursday,18,2
2021-05-07,4263.31,72,59.21,home_goods,116.81,1.15,1.049,Friday,May,2021,36.49781696772537,False,Friday,18,2
2021-05-08,3944.49,47,83.93,home_goods,324.73,1.322,1.05,Saturday,May,2021,12.146983647953684,True,Saturday,18,2
2021-05-09,4544.39,91,49.94,accessories,87.97,1.322,1.05,Sunday,May,2021,51.65840627486644,True,Sunday,18,2
2021-05-10,3697.71,61,60.62,home_goods,105.2,1.15,1.051,Monday,May,2021,35.149334600760454,False,Monday,19,2
2021-05-11,3705.58,56,66.17,clothing,98.74,1.15,1.051,Tuesday,May,2021,37.52866113024104,False,Tuesday,19,2
2021-05-12,4824.39,66,73.1,clothing,524.98,1.15,1.051,Wednesday,May,2021,9.189664368166406,False,Wednesday,19,2
2021-05-13,3104.31,63,49.27,accessories,51.84,1.15,1.052,Thursday,May,2021,59.882523148148145,False,Thursday,19,2
2021-05-14,4556.19,61,74.69,accessories,132.97,1.15,1.052,Friday,May,2021,34.26479657065503,False,Friday,19,2
2021-05-15,3935.34,57,69.04,clothing,91.88,1.322,1.053,Saturday,May,2021,42.831301697866785,True,Saturday,19,2
2021-05-16,2903.51,50,58.07,clothing,123.8,1.322,1.053,Sunday,May,2021,23.4532310177706,True,Sunday,19,2
2021-05-17,2701.93,38,71.1,accessories,121.9,1.15,1.053,Monday,May,2021,22.165135356849873,False,Monday,20,2
2021-05-18,2564.86,35,73.28,clothing,143.68,1.15,1.054,Tuesday,May,2021,17.85119710467706,False,Tuesday,20,2
2021-05-19,3817.07,78,48.94,accessories,99.64,1.15,1.054,Wednesday,May,2021,38.30861099959856,False,Wednesday,20,2
2021-05-20,4840.65,58,83.46,accessories,57.51,1.15,1.055,Thursday,May,2021,84.17057902973396,False,Thursday,20,2
2021-05-21,2804.04,51,54.98,accessories,129.94,1.15,1.055,Friday,May,2021,21.579498229952286,False,Friday,20,2
2021-05-22,5485.36,77,71.24,clothing,59.16,1.322,1.055,Saturday,May,2021,92.7207572684246,True,Saturday,20,2
2021-05-23,5747.95,74,77.67,home_goods,130.66,1.322,1.056,Sunday,May,2021,43.99165773763968,True,Sunday,20,2
2021-05-24,5150.87,76,67.77,clothing,98.94,1.15,1.056,Monday,May,2021,52.060541742470186,False,Monday,21,2
2021-05-25,7717.62,119,64.85,home_goods,378.41,1.15,1.057,Tuesday,May,2021,20.39486271504453,False,Tuesday,21,2
2021-05-26,3936.54,56,70.3,clothing,81.91,1.15,1.057,Wednesday,May,2021,48.059333414723476,False,Wednesday,21,2
2021-05-27,3979.58,62,64.19,accessories,122.48,1.15,1.057,Thursday,May,2021,32.4916721097322,False,Thursday,21,2
2021-05-28,3980.71,58,68.63,accessories,81.88,1.15,1.058,Friday,May,2021,48.61638983878847,False,Friday,21,2
2021-05-29,5176.02,86,60.19,accessories,129.88,1.322,1.058,Saturday,May,2021,39.85232522328304,True,Saturday,21,2
2021-05-30,5075.6,106,47.88,accessories,137.37,1.322,1.059,Sunday,May,2021,36.94838756642644,True,Sunday,21,2
2021-05-31,3577.69,64,55.9,clothing,78.72,1.15,1.059,Monday,May,2021,45.44829776422765,False,Monday,22,2
2021-06-01,8659.88,156,55.51,clothing,102.57,1.4,1.059,Tuesday,June,2021,84.4289753339183,False,Tuesday,22,2
2021-06-02,4329.72,49,88.36,clothing,144.47,1.4,1.06,Wednesday,June,2021,29.96968228698,False,Wednesday,22,2
2021-06-03,4344.56,62,70.07,accessories,73.17,1.4,1.06,Thursday,June,2021,59.376247095804295,False,Thursday,22,2
2021-06-04,3592.89,51,70.45,clothing,72.05,1.4,1.061,Friday,June,2021,49.86662040249826,False,Friday,22,2
2021-06-05,5663.12,95,59.61,accessories,146.91,1.61,1.061,Saturday,June,2021,38.54822680552719,True,Saturday,22,2
2021-06-06,5791.83,65,89.11,accessories,72.38,1.61,1.062,Sunday,June,2021,80.01975683890578,True,Sunday,22,2
2021-06-07,5534.82,90,61.5,home_goods,137.75,1.4,1.062,Monday,June,2021,40.18018148820327,False,Monday,23,2
2021-06-08,6041.74,125,48.33,clothing,102.57,1.4,1.062,Tuesday,June,2021,58.90357804426246,False,Tuesday,23,2
2021-06-09,3607.0,53,68.06,home_goods,99.59,1.4,1.063,Wednesday,June,2021,36.21849583291495,False,Wednesday,23,2
2021-06-10,2227.03,28,79.54,accessories,132.47,1.4,1.063,Thursday,June,2021,16.811579980372915,False,Thursday,23,2
2021-06-11,4134.15,54,76.56,home_goods,137.86,1.4,1.064,Friday,June,2021,29.988031336138107,False,Friday,23,2
2021-06-12,6544.25,87,75.22,accessories,119.75,1.61,1.064,Saturday,June,2021,54.64926931106472,True,Saturday,23,2
2021-06-13,7525.29,113,66.6,clothing,138.09,1.61,1.064,Sunday,June,2021,54.495546382793826,True,Sunday,23,2
2021-06-14,4480.83,71,63.11,clothing,133.21,1.4,1.065,Monday,June,2021,33.63733953907364,False,Monday,24,2
2021-06-15,4238.91,58,73.08,accessories,148.12,1.4,1.065,Tuesday,June,2021,28.618079935187684,False,Tuesday,24,2
2021-06-16,6755.36,96,70.37,clothing,126.1,1.4,1.066,Wednesday,June,2021,53.57145122918319,False,Wednesday,24,2
2021-06-17,4732.6,70,67.61,clothing,143.2,1.4,1.066,Thursday,June,2021,33.04888268156425,False,Thursday,24,2
2021-06-18,4644.38,76,61.11,home_goods,84.59,1.4,1.066,Friday,June,2021,54.90459865232297,False,Friday,24,2
2021-06-19,5469.17,79,69.23,accessories,146.89,1.61,1.067,Saturday,June,2021,37.233099598338896,True,Saturday,24,2
2021-06-20,4382.84,90,48.7,home_goods,118.33,1.61,1.067,Sunday,June,2021,37.0391278627567,True,Sunday,24,2
2021-06-21,4729.63,78,60.64,accessories,95.14,1.4,1.068,Monday,June,2021,49.7123186882489,False,Monday,25,2
2021-06-22,6958.67,110,63.26,home_goods,145.09,1.4,1.068,Tuesday,June,2021,47.96105865324971,False,Tuesday,25,2
2021-06-23,3313.26,56,59.17,home_goods,113.85,1.4,1.068,Wednesday,June,2021,29.101976284584982,False,Wednesday,25,2
2021-06-24,5765.76,87,66.27,clothing,71.31,1.4,1.069,Thursday,June,2021,80.85485906604964,False,Thursday,25,2
2021-06-25,4861.92,70,69.46,accessories,97.32,1.4,1.069,Friday,June,2021,49.95807644882861,False,Friday,25,2
2021-06-26,6584.53,85,77.47,accessories,63.12,1.61,1.07,Saturday,June,2021,104.31764892268694,True,Saturday,25,2
2021-06-27,5826.33,70,83.23,clothing,62.52,1.61,1.07,Sunday,June,2021,93.19145873320537,True,Sunday,25,2
2021-06-28,4242.56,72,58.92,accessories,76.9,1.4,1.07,Monday,June,2021,55.16983094928479,False,Monday,26,2
2021-06-29,9328.96,155,60.19,clothing,435.5,1.4,1.071,Tuesday,June,2021,21.421262916188287,False,Tuesday,26,2
2021-06-30,6015.59,108,55.7,clothing,53.96,1.4,1.071,Wednesday,June,2021,111.48239436619718,False,Wednesday,26,2
2021-07-01,6492.43,100,64.92,accessories,64.25,1.5,1.072,Thursday,July,2021,101.04949416342413,False,Thursday,26,3
2021-07-02,5072.22,81,62.62,clothing,101.77,1.5,1.072,Friday,July,2021,49.840031443450926,False,Friday,26,3
2021-07-03,5410.74,99,54.65,accessories,89.69,1.725,1.073,Saturday,July,2021,60.327126769985504,True,Saturday,26,3
2021-07-04,5738.84,72,79.71,clothing,60.46,1.725,1.073,Sunday,July,2021,94.91961627522329,True,Sunday,26,3
2021-07-05,7522.44,109,69.01,home_goods,55.2,1.5,1.073,Monday,July,2021,136.27608695652174,False,Monday,27,3
2021-07-06,6735.8,86,78.32,accessories,102.57,1.5,1.074,Tuesday,July,2021,65.67027395924735,False,Tuesday,27,3
2021-07-07,5307.22,79,67.18,clothing,102.64,1.5,1.074,Wednesday,July,2021,51.70713172252533,False,Wednesday,27,3
2021-07-08,4426.9,63,70.27,accessories,71.92,1.5,1.075,Thursday,July,2021,61.55311457174638,False,Thursday,27,3
2021-07-09,4285.59,59,72.64,home_goods,105.54,1.5,1.075,Friday,July,2021,40.60631040363843,False,Friday,27,3
2021-07-10,6219.2,99,62.82,home_goods,118.02,1.725,1.075,Saturday,July,2021,52.696153194373835,True,Saturday,27,3
2021-07-11,3555.33,63,56.43,clothing,124.27,1.725,1.076,Sunday,July,2021,28.609720769292668,True,Sunday,27,3
2021-07-12,6132.4,81,75.71,home_goods,122.53,1.5,1.076,Monday,July,2021,50.048151473108625,False,Monday,28,3
2021-07-13,5690.52,85,66.95,clothing,77.68,1.5,1.077,Tuesday,July,2021,73.25592173017507,False,Tuesday,28,3
2021-07-14,2390.017034724452,116,70.01,clothing,63.16,1.5,1.077,Wednesday,July,2021,37.840675027302915,False,Wednesday,28,3
2021-07-15,5779.18,92,62.82,accessories,147.14,1.5,1.077,Thursday,July,2021,39.276743237732774,False,Thursday,28,3
2021-07-16,5706.45,74,77.11,clothing,101.48,1.5,1.078,Friday,July,2021,56.23226251478123,False,Friday,28,3
2021-07-17,4666.84,88,53.03,clothing,146.94,1.725,1.078,Saturday,July,2021,31.760174220770384,True,Saturday,28,3
2021-07-18,5764.36,87,66.26,clothing,95.38,1.725,1.079,Sunday,July,2021,60.435730761165864,True,Sunday,28,3
2021-07-19,4384.46,85,51.58,accessories,93.09,1.5,1.079,Monday,July,2021,47.09915135889999,False,Monday,29,3
2021-07-20,7867.27,102,77.13,home_goods,598.28,1.5,1.08,Tuesday,July,2021,13.149812796683829,False,Tuesday,29,3
2021-07-21,5095.75,80,63.7,clothing,136.83,1.5,1.08,Wednesday,July,2021,37.241467514433964,False,Wednesday,29,3
2021-07-22,5009.74,78,64.23,home_goods,53.93,1.5,1.08,Thursday,July,2021,92.89338030780641,False,Thursday,29,3
2021-07-23,4730.38,69,68.56,accessories,100.72,1.5,1.081,Friday,July,2021,46.96564733915806,False,Friday,29,3
2021-07-24,5211.39,93,56.04,accessories,63.97,1.725,1.081,Saturday,July,2021,81.46615601062999,True,Saturday,29,3
2021-07-25,6542.34,78,83.88,home_goods,59.39,1.725,1.082,Sunday,July,2021,110.15894931806702,True,Sunday,29,3
2021-07-26,5407.11,83,65.15,accessories,144.46,1.5,1.082,Monday,July,2021,37.42980755918593,False,Monday,30,3
2021-07-27,8849.77,115,76.95,clothing,107.06,1.5,1.082,Tuesday,July,2021,82.66177844199514,False,Tuesday,30,3
2021-07-28,4994.89,66,75.68,accessories,60.66,1.5,1.083,Wednesday,July,2021,82.34240026376526,False,Wednesday,30,3
2021-07-29,4955.13,66,75.08,clothing,123.84,1.5,1.083,Thursday,July,2021,40.01235465116279,False,Thursday,30,3
2021-07-30,6964.42,89,78.25,clothing,129.78,1.5,1.084,Friday,July,2021,53.66327631376175,False,Friday,30,3
2021-07-31,5195.28,101,51.44,clothing,50.58,1.725,1.084,Saturday,July,2021,102.71411625148279,True,Saturday,30,3
2021-08-01,5754.12,109,52.79,clothing,73.75,1.667,1.085,Sunday,August,2021,78.02196610169491,True,Sunday,30,3
2021-08-02,4270.6,49,87.16,clothing,116.82,1.45,1.085,Monday,August,2021,36.557096387604865,False,Monday,31,3
2021-08-03,5825.05,108,53.94,clothing,52.56,1.45,1.085,Tuesday,August,2021,110.82667427701674,False,Tuesday,31,3
2021-08-04,4336.64,61,71.09,home_goods,103.36,1.45,1.086,Wednesday,August,2021,41.95665634674923,False,Wednesday,31,3
2021-08-05,5115.71,80,63.95,clothing,56.03,1.45,1.086,Thursday,August,2021,91.30305193646261,False,Thursday,31,3
2021-08-06,5213.75,96,54.31,home_goods,75.68,1.45,1.087,Friday,August,2021,68.89204545454545,False,Friday,31,3
2021-08-07,4226.69,71,59.53,clothing,121.62,1.667,1.087,Saturday,August,2021,34.753247821082056,True,Saturday,31,3
